SeqId,Heap3SortNComp,Heap3SortTns,AVLTreeSortNComp,AVLTreeSortTns,
seq_100_75,312,18700,531,33300,
seq_100_76,320,15000,533,21200,
seq_100_77,335,14400,534,19200,
seq_100_78,326,14000,536,18400,
seq_100_79,308,13400,540,30400,
seq_100_80,332,13900,530,19500,
seq_100_81,330,13300,524,17500,
seq_100_82,309,12700,532,24400,
seq_100_83,320,13300,532,18100,
seq_100_84,323,13600,527,16500,
seq_100_85,331,13100,526,18600,
seq_100_86,321,16900,541,22100,
seq_100_87,322,17800,526,19500,
seq_100_88,320,16300,530,20300,
seq_100_89,323,13200,545,18500,
seq_100_90,309,13200,521,19000,
seq_100_91,309,17900,528,24400,
seq_100_92,325,21000,531,29200,
seq_100_93,323,21400,525,29200,
seq_100_94,332,26100,525,35800,
seq_100_95,321,13800,535,19000,
seq_100_96,328,13700,530,18300,
seq_100_97,331,13700,527,20500,
seq_100_98,316,19400,540,46000,
seq_100_99,320,24300,546,37200,
seq_150_0,545,32800,880,59900,
seq_150_1,550,25500,873,45200,
seq_150_2,545,21300,887,40300,
seq_150_3,524,22100,886,26500,
seq_150_4,548,21600,885,33800,
seq_150_5,527,23800,877,30900,
seq_150_6,532,21200,866,37200,
seq_150_7,544,27100,878,31100,
seq_150_8,534,20900,888,52100,
seq_150_9,539,20100,893,25100,
seq_150_10,536,20200,892,33700,
seq_150_11,530,20400,882,64600,
seq_150_12,535,29600,905,51900,
seq_150_13,531,48300,871,151000,
seq_150_14,525,34700,882,65100,
seq_150_15,533,32300,897,55300,
seq_150_16,539,30400,877,49800,
seq_150_17,541,59800,889,42000,
seq_150_18,536,25800,878,35000,
seq_150_19,535,37000,886,31900,
seq_150_20,540,22400,900,26600,
seq_150_21,541,22400,868,25600,
seq_150_22,546,22200,889,28700,
seq_150_23,530,20500,902,26200,
seq_150_24,544,20900,882,26000,
seq_150_25,540,20800,880,25900,
seq_150_26,534,20300,903,27000,
seq_150_27,542,25800,873,36500,
seq_150_28,528,29400,873,51500,
seq_150_29,536,37200,879,52900,
seq_150_30,544,34000,895,46900,
seq_150_31,534,35200,895,53100,
seq_150_32,540,32200,894,78000,
seq_150_33,526,33700,876,46000,
seq_150_34,525,35400,888,52000,
seq_150_35,524,32300,887,52400,
seq_150_36,521,32900,882,50700,
seq_150_37,531,33300,869,43300,
seq_150_38,535,22300,883,28400,
seq_150_39,541,21000,864,26600,
seq_150_40,533,21500,880,26000,
seq_150_41,536,20800,879,24800,
seq_150_42,549,21200,877,77300,
seq_150_43,541,36100,864,50700,
seq_150_44,530,23000,881,47100,
seq_150_45,541,28800,876,38000,
seq_150_46,538,21100,887,27500,
seq_150_47,539,20300,874,23600,
seq_150_48,547,31600,880,27900,
seq_150_49,532,20600,884,26200,
seq_150_50,531,19900,880,29800,
seq_150_51,543,20500,892,27400,
seq_150_52,538,20400,875,24400,
seq_150_53,527,20400,872,22800,
seq_150_54,529,20000,863,22800,
seq_150_55,542,30000,886,30800,
seq_150_56,549,20900,892,23900,
seq_150_57,539,20800,875,23600,
seq_150_58,545,20600,873,24100,
seq_150_59,524,19900,883,25000,
seq_150_60,539,21400,887,24300,
seq_150_61,533,20400,870,24300,
seq_150_62,542,20600,875,23300,
seq_150_63,536,19900,878,28900,
seq_150_64,544,22100,898,30200,
seq_150_65,542,21600,878,34700,
seq_150_66,533,25600,864,36900,
seq_150_67,547,35300,900,69700,
seq_150_68,539,36300,870,72900,
seq_150_69,535,35000,880,42800,
seq_150_70,535,35000,894,41700,
seq_150_71,543,31900,894,37200,
seq_150_72,541,31500,878,38300,
seq_150_73,542,32300,877,48900,
seq_150_74,536,31300,879,60300,
seq_150_75,539,31100,888,33000,
seq_150_76,541,25800,867,32100,
seq_150_77,529,23900,871,26300,
seq_150_78,528,23200,881,26600,
seq_150_79,539,22800,886,25600,
seq_150_80,540,33300,867,27900,
seq_150_81,532,21700,882,33200,
seq_150_82,543,29400,881,42200,
seq_150_83,545,28700,884,34400,
seq_150_84,534,29300,873,43400,
seq_150_85,531,37500,856,40300,
seq_150_86,548,34400,860,36400,
seq_150_87,529,38900,861,53700,
seq_150_88,538,24300,888,31100,
seq_150_89,540,30000,881,35000,
seq_150_90,535,23300,883,26100,
seq_150_91,534,23100,890,36300,
seq_150_92,528,35300,888,38900,
seq_150_93,542,35400,883,46300,
seq_150_94,537,34600,895,39400,
seq_150_95,534,34200,880,47300,
seq_150_96,542,31400,876,38300,
seq_150_97,534,50700,887,50000,
seq_150_98,542,25100,890,36700,
seq_150_99,531,29900,886,34300,
seq_200_0,769,52100,1239,32400,
seq_200_1,779,44200,1263,50000,
seq_200_2,778,44800,1258,45900,
seq_200_3,764,41900,1241,43600,
seq_200_4,778,45500,1240,51500,
seq_200_5,755,131600,1269,46400,
seq_200_6,768,122600,1238,96000,
seq_200_7,771,78500,1289,47600,
seq_200_8,762,44500,1242,71600,
seq_200_9,771,47800,1249,59200,
seq_200_10,772,51500,1255,63200,
seq_200_11,772,57900,1241,173200,
seq_200_12,774,47000,1259,166800,
seq_200_13,782,47200,1282,66800,
seq_200_14,779,43500,1259,49500,
seq_200_15,754,41100,1245,45800,
seq_200_16,773,60000,1255,46600,
seq_200_17,780,33700,1266,48100,
seq_200_18,773,32500,1228,35000,
seq_200_19,756,30500,1281,35900,
seq_200_20,770,28900,1269,32100,
seq_200_21,760,37900,1259,34100,
seq_200_22,762,28600,1253,34300,
seq_200_23,785,74800,1263,66000,
seq_200_24,778,48200,1236,75100,
seq_200_25,781,46000,1249,70700,
seq_200_26,775,69400,1257,78200,
seq_200_27,773,41300,1262,128000,
seq_200_28,770,31000,1273,39900,
seq_200_29,763,56200,1259,122500,
seq_200_30,749,39900,1246,43800,
seq_200_31,769,49600,1253,45300,
seq_200_32,773,44800,1224,44000,
seq_200_33,766,54700,1261,59000,
seq_200_34,773,34000,1238,37500,
seq_200_35,758,42100,1256,55200,
seq_200_36,767,46400,1244,51100,
seq_200_37,763,95200,1267,63800,
seq_200_38,771,56700,1254,56900,
seq_200_39,771,32700,1266,43800,
seq_200_40,758,30000,1262,33900,
seq_200_41,766,29900,1248,32600,
seq_200_42,758,29100,1248,33200,
seq_200_43,777,41900,1267,44800,
seq_200_44,772,28500,1234,31300,
seq_200_45,770,46800,1253,48300,
seq_200_46,769,44100,1257,52700,
seq_200_47,760,41900,1245,57900,
seq_200_48,753,68500,1250,47500,
seq_200_49,785,44600,1217,40800,
seq_200_50,761,43100,1247,42800,
seq_200_51,777,54500,1260,50200,
seq_200_52,760,42000,1249,43200,
seq_200_53,771,42500,1243,40100,
seq_200_54,774,42600,1272,41000,
seq_200_55,775,43900,1260,43200,
seq_200_56,765,36700,1237,44300,
seq_200_57,761,42700,1275,44700,
seq_200_58,762,44200,1264,43300,
seq_200_59,769,42100,1268,51900,
seq_200_60,780,34900,1274,41600,
seq_200_61,758,40800,1259,42500,
seq_200_62,786,53600,1271,55000,
seq_200_63,762,46600,1269,80200,
seq_200_64,756,69500,1235,137900,
seq_200_65,756,46700,1257,51700,
seq_200_66,769,31400,1277,34500,
seq_200_67,781,42700,1247,31400,
seq_200_68,776,29400,1246,30800,
seq_200_69,772,29400,1274,30600,
seq_200_70,780,29300,1255,32500,
seq_200_71,779,112600,1256,83600,
seq_200_72,761,51500,1256,56700,
seq_200_73,771,49500,1273,53700,
seq_200_74,770,49100,1263,83000,
seq_200_75,765,43000,1255,48400,
seq_200_76,757,49100,1282,52300,
seq_200_77,771,32700,1239,119900,
seq_200_78,768,64500,1254,61500,
seq_200_79,772,43300,1278,43100,
seq_200_80,769,43200,1229,58400,
seq_200_81,768,42100,1273,42000,
seq_200_82,772,49000,1279,54000,
seq_200_83,765,47700,1232,64500,
seq_200_84,775,43500,1285,44600,
seq_200_85,769,44800,1247,48500,
seq_200_86,783,44700,1268,57800,
seq_200_87,759,43900,1230,46000,
seq_200_88,757,41000,1238,40100,
seq_200_89,760,63900,1287,79900,
seq_200_90,760,84100,1271,223300,
seq_200_91,763,47800,1267,56800,
seq_200_92,769,44600,1270,45800,
seq_200_93,753,66500,1260,48100,
seq_200_94,762,38300,1261,51600,
seq_200_95,775,30400,1229,45000,
seq_200_96,761,52600,1256,36500,
seq_200_97,771,29000,1251,30800,
seq_200_98,772,45000,1231,54500,
seq_200_99,764,34000,1255,36500,
seq_250_0,1000,54000,1619,41500,
seq_250_1,1023,49600,1644,46900,
seq_250_2,1016,94000,1631,70500,
seq_250_3,999,92800,1647,121800,
seq_250_4,1026,83500,1628,57800,
seq_250_5,1013,54200,1628,88600,
seq_250_6,1014,53000,1661,60200,
seq_250_7,1021,62700,1673,60900,
seq_250_8,1016,56900,1632,58800,
seq_250_9,1007,49700,1657,89700,
seq_250_10,1010,55300,1657,63000,
seq_250_11,1011,56300,1632,57200,
seq_250_12,1024,72000,1620,57600,
seq_250_13,1006,84700,1653,86300,
seq_250_14,1015,38500,1649,52300,
seq_250_15,1006,73300,1632,91600,
seq_250_16,1008,61800,1630,85600,
seq_250_17,1025,63100,1635,100100,
seq_250_18,1020,77100,1654,56600,
seq_250_19,1027,90900,1623,52200,
seq_250_20,994,56000,1644,49800,
seq_250_21,1001,55000,1642,77700,
seq_250_22,1001,53100,1646,64400,
seq_250_23,1023,41800,1662,47900,
seq_250_24,1017,40000,1628,51200,
seq_250_25,1007,53400,1633,82600,
seq_250_26,1009,73800,1642,72000,
seq_250_27,1012,56200,1649,54000,
seq_250_28,1022,53900,1638,51600,
seq_250_29,1001,55000,1658,51300,
seq_250_30,1005,42000,1639,48900,
seq_250_31,1014,38800,1638,51600,
seq_250_32,1021,38800,1661,57000,
